상호,주소,휘발유_편차
이마트셀프 전용주유소,경남 통영시 광도면 죽림4로 9,-59.991611395271676
경인터미널주유소,인천 미추홀구 봉수대로 54 (도화동),-59.918347142772944
강경주유소,전라남도 담양군 대전면 추성로 394,-59.848958490491476
대화주유소,경상북도 경산시 와촌면 팔공로 36,-59.76181874208668
구도일주유소구미, ,-59.738488450241775
함마대로주유소,경남 함안군 산인면 함마대로 2035,-59.71051033682864
우리주유소,경상북도 경주시 산업로 2016,-59.655353361335074
(주)서울에너지 하늘주유소,경기 양주시 평화로 1772 (회정동),-59.61980884051845
천지주유소,대구 북구 사수로 369,-59.52217519337884
남안동농협주유소, 경상북도 안동시 남후면 경북대로 7889,-59.46810208608107
동대구터미널주유소,대구 동구 화랑로 584 (용계동),-59.44009180546315
그린에너지 직영주유소,대구 남구 대명로 277 (대명동),-59.351764198740305
금화주유소,경북 칠곡군 가산면 경북대로 1368,-59.34493140441158
(주)진덕산업개발 우리알뜰주유소,경북 칠곡군 북삼읍 금오대로 196,-59.341724264672855
평리주유소,대구 서구 서대구로 227 (평리동),-59.248356993469876
효천주유소,경상남도 김해시 진례면 서부로 672,-59.21716908343169
훼미리주유소,경기 의정부시 송산로 970 (산곡동),-59.1368720398591
월락주유소, ,-59.077169364252036
에버그린주유소,대구 달서구 새방로 87 (용산동),-59.06491558997187
상신에너지(주) 생림공단주유소,경남 김해시 생림면 생림대로 560,-59.03048768393879
뉴월드주유소,대전광역시 동구 계족로 502-4,-59.01505024833099
우리알뜰주유소,경북 칠곡군 북삼읍 금오대로 196,-59.01018484203079
동부1,경남 창원시 진해구 진해대로 855 (석동),-58.96849627839534
충무공주유소,충남 아산시 온천대로 1618 (풍기동),-58.966974706082716
오아시스 주유소,경기도 파주시  금월로 130 (야동동),-58.902113414769175
(주)관문주유소,경북 포항시 남구 새천년대로 226 (효자동),-58.812005220903124
명품주유소,경기 고양시 덕양구 중앙로 107,-58.78010080306509
세암주유소,부산 사상구 사상로 511 (모라동),-58.778543589407995
희원주유소,경기도 부천시 소사구  경인로 581 (괴안동),-58.75349974794595
대명에너지 청도2주유소,인천 서구 백범로 964 (가좌1동),-58.73363834122469
(주)보문 북항IC주유소,인천 서구 원석로 133,-58.72472602154216
패밀리주유소,경상북도 칠곡군 약목면 칠곡대로 713,-58.71773195366485
왕릉주유소,경상남도 김해시  분성로 440 (삼정동),-58.68686283695902
논산주유소,대전 중구 대흥로 132 (대흥동),-58.669129536420485
기린주유소,대구광역시 달서구 월배로 439 (송현동),-58.66529563564409
지에스칼텍스㈜ 이마트주유소구미점,경북 구미시 구미대로18길 18 (광평동),-58.61374727750713
(주)통일로 일품주유소,경기 고양시 덕양구 통일로 862 (관산동),-58.57072813361002
대승주유소,경기 남양주시 진건읍 진건오남로 237,-58.52315561683736
스타주유소,부산광역시 강서구 공항로 1111,-58.496070840362705
동대구고속주유소,대구 동구 동촌로 358 (용계동),-58.49098408669887
바나나주유소, ,-58.43709064915956
(주)창대오일주유소,경기 수원시 권선구 덕영대로 1136 (세류동),-58.42826285409802
골드주유소,대전 동구 대전로 292 (대성동),-58.41400985742783
고봉산제2주유소,경기도 고양시 일산동구 고봉로 857(설문동634-1),-58.343662280772094
태산이앤엘(주)수성셀프주유소,대구 수성구  달구벌대로 2938 (연호동),-58.27347523967976
(주)신마산주유소,경남 창원시 마산합포구 밤밭고개로 390(월영동),-58.17168747646648
논산한일주유소,대전 동구 대전로 292 (대성동),-58.131831805931384
늘푸른주유소,경남 창원시 성산구 진해대로 52,-58.103851129315075
신일글로벌(주)두바이주유소,대구 동구 안심로 586,-58.10286624316597
부경에너지㈜ 황제주유소,경남 김해시 진영읍 김해대로 684,-58.02628520810613
제일주유소,충청북도 청주시 흥덕구 청남로 2145 (모충동),-58.0097494709204
너멍골알뜰주유소,경기 고양시 덕양구 호국로 1259,-58.001034971054075
진성주유소,대전광역시 중구  대종로 122 (호동),-57.91214843681723
인천주유소,인천 남구 인주대로 286 (주안동),-57.84578687968008
새진주주유소,경남 진주시 진양호로 596,-57.76452439146843
한빛주유소,충남 아산시 도고면 온천대로 342,-57.7398904439888
행복주유소,경기도 화성시  효행로 420 (안녕동),-57.69684081052668
평양주유소, ,-57.68115071653673
신도화 정보주유소,인천 남구 경인로 304 (도화동),-57.65659800950946
신북IC주유소,경기도 포천시 신북면 호국로 2075,-57.619123488506666
기분좋은주유소,대구 수성구 희망로 101-1 (중동),-57.606921584731396
대신주유소,경북 칠곡군 가산면 경북대로 1287,-57.58725030874685
만남의주유소,경북 칠곡군 가산면 경북대로 1883,-57.573022737939645
행복한셀프주유소,부산 사상구 학감대로 73 (학장동),-57.53964758294651
대경주유소,경북 김천시 아포읍 아포대로 763,-57.44439277799766
충일주유소,대전광역시 서구 유등로 659 (탄방동),-57.3805682993594
(주)인창주유소,경남 진주시 창렬로 65,-57.378732372747905
금성주유소,경남 창원시 마산합포구 3.15대로 89,-57.37634039370481
오정주유소(Self),강원 강릉시 경강로 2344 (포남동),-57.33276588951214
불국에너지(주),경북 경주시 산업로 2987(시래동),-57.31436051193399
대양오일할인주유소,대구 달서구 성당로 117 (성당동),-57.31372690568281
보성셀프주유소,경북 경주시 강동면 산업로 5762,-57.244951352086694
경산주유소,경북 경산시 하양읍 대경로 98,-57.24305771974139
롯데오일마트주유소,경상북도 경주시  태종로 278 (충효동),-57.23507316006569
우림압촌주유소,광주 남구 회재로 277 (압촌동),-57.22266763415918
오토밸리셀프 내포점,충남 홍성군 홍북읍 도청대로 330 (용봉산 입구),-57.21267991036358
인선에너지(주)주유소,경기 고양시 일산동구 고양대로 953 (식사동),-57.209025902329245
화성주유소,경북 칠곡군 동명면 경북대로 8,-57.18523634242671
청룡주유소,경상북도 포항시 남구 동해안로 5976,-57.11212277573925
만족두배주유소,대전 동구 계족로 502-4 (용전동),-57.0849755644513
스마트주유소,부산 사상구 가야대로 377,-57.08143933754742
새통영주유소,경남 통영시 도산면 남해안대로 1574,-57.06651049748002
송정주유소,대구 동구 안심로 483,-57.06012633281385
용장군주유소,경남 사천시 용현면 사천대로 938,-57.03528537560187
황정주유소,경북 경산시 와촌면 금송로 653,-57.01383214809565
(주)대흥주유소,경기도 포천시 일동면 화동로 967,-56.98499225236261
제이엠7주유소,경북 칠곡군 왜관읍 강변대로 852,-56.95817269392855
구름주유소,대구 달성군 가창면 가창로 169,-56.95330807787515
(주)동남에너지,경남 함안군 산인면 함마대로 2367,-56.92431330587809
태화루주유소,울산 중구 태화로 161,-56.87266161824446
대교주유소,경남 사천시 사천대로 732 (노룡동),-56.84892716713713
부일주유소,부산 기장군 장안읍 정관로 1124,-56.83391258715125
(주)좋은기름나라 웅촌지점,울산 울주군 웅촌면 웅촌로 724,-56.82995971082078
서광유업㈜청도3주유소,인천 서구 중봉대로 372 (원창동),-56.752297639980604
참조은주유소,경남 양산시 하북면 양산대로 2325,-56.742941904322244
(주)태산이앤엘 제2강변주유소,경북 경산시 대경로 559,-56.69223465245972
목화주유소,경상남도 사천시 사천대로 916,-56.688145101800345
주식회사서울에너지,인천 부평구 경원대로 1049 (십정동),-56.68814145084538
(주)대영유니온즈,대전광역시 중구 우암로 22 (선화동),-56.63273834051217
김천IC충전소,경북 김천시 대학로 55,-56.62246812221136
군위IC충전소,경북 군위군 군위읍 경북대로 3465,-56.62246812221136
가산고속주유소,경북 칠곡군 가산면 경북대로 1420,-56.55108892221976
주식회사어울림직영 나눔주유소,경기도 수원시 권선구  매송고색로 498 (오목천동),-56.53844546902564
명품주유소,전남 순천시 별량면 녹색로 55,-56.48684056416997
북마산주유소,경남 창원시 마산회원구 무학로 617,-56.40017962045807
백봉령휴게주유소,강원도 정선군 임계면 서동로 5513,-56.2943372867874
경동주유소,서울 동대문구 이문로 191(이문동),-56.27775770502444
유토피아LPG충전소,전남 영암군 삼호읍 녹색로 993,-56.233763681602476
스타주유소,경남 김해시 가야로 409,-56.19257840942796
대흥주유소,대전광역시 중구 대흥로 132 (대흥동),-56.13834898124097
십정주유소,인천광역시 부평구 경원대로 1037,-56.072779907247494
용마주유소,부산 사상구 가야대로 329 (주례동),-56.06211010639964
부자주유소,경상남도 사천시 삼천포대교로 930 (송포동),-56.02738943575048
신영주유소,인천광역시 남구  한나루로 459 (용현동),-56.000629144662774
유라주유소,경기 고양시 덕양구 원당로 433(원당동),-55.99342414339516
ne주유소,경기도 고양시 일산동구 무궁화로 299 (풍동),-55.98835817322494
한울에너지㈜간석지점,인천 남동구 경인로 752 (간석동),-55.92822778897803
(주)하나주유소,경남 사천시 삼천포대교로 692,-55.91715250560374
제이엠6주유소,경남 창녕군 성산면 경남대로 5742-6,-55.91139227142054
(주)화주유소,울산 중구 태화로 248 (태화동),-55.8981994140511
회산주유소,강원 강릉시 관솔길 27 (회산동),-55.87608076182288
동부산농협클린주유소,부산 기장군 일광면 기장대로 1037,-55.80473869168844
김해제일주유소,경남 김해시  분성로 440 (삼정동),-55.80086966305527
다부오일밸리주유소,경상북도 칠곡군 동명면 경북대로 827,-55.731454782549655
