상호,주소,휘발유_편차
에스제이에너지산업(주) 개포주유소,서울 강남구 양재대로 339,179.7801362711518
무진에너지(주)스카이점,인천 중구 공항서로 187,179.56931845292692
역삼주유소,서울특별시 강남구  논현로 426 (역삼동),178.75135964783772
삼호주유소,서울 서초구 방배로 231 (방배동),177.88524590344764
SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,177.79093778684802
현대오일뱅크(주)직영 인천대교주유소,인천 연수구 아암대로 815 (동춘동),177.56041489206478
SK에너지(주) 양지IC주유소,경기 용인시 처인구 양지면 죽양대로 2294,177.52892428862717
지에스칼텍스(주)직영제2한강점,서울특별시 영등포구 선유로 260 (양평동4가),176.92375771882925
동양석유주식회사,서울 강서구 양천로 715 (염창동),176.90131488846382
GS칼텍스 상암주유소,경기 고양시 덕양구 자유로 38 (덕은동),176.80427596195085
삼선주유소,서울 성북구 창경궁로 324 (삼선동1가),176.73217600132082
동아주유소,서울 마포구 동교동 179-234,176.4684364710499
서하남고속주유소,경기 하남시 서하남로 77,176.3494374385319
GS직영고강제일주유소,경기 부천시 오정구 역곡로 507 (고강동),175.8833753198957
강동주유소,서울 송파구 오금로 241 (방이동),175.51296153903164
현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로 96 (정릉동),175.49535919852585
청기와2주유소,서울 마포구 월드컵북로 63 (성산동),175.26366783785195
현대오일뱅크㈜직영 안산중앙주유소,경기 안산시 단원구 화정로 96 (와동),174.7416865659331
방배동주유소,서울 서초구 효령로 29 (방배동),174.6332879459668
명경주유소,서울 종로구 평창문화로 135 (평창동),174.56711905410125
(주)동원주유소,서울 서초구 바우뫼로 219 (양재동),174.5455234259255
현대오일뱅크㈜직영 에어포트주유소,서울 강서구 개화동로 519 (방화동),173.94779054955373
내동주유소, 경기도 부천시 오정구 수도로 201,173.8901012890989
한강주유소,서울 영등포구 선유로 260 (양평동4가),173.64339314334106
상일주유소,경기 부천시 원미구 상일로 42 (상동),173.2454909224825
금성주유소,경기도 부천시 원미구 부흥로 358 (심곡동),173.19307457459948
경원주유소,경기 성남시 수정구 복정동 472-5,172.8027059722647
평촌사랑주유소,경기 안양시 동안구 시민대로 372 (관양동),172.6364280886855
북천안IC주유소,충남 천안시 서북구 직산읍 직산로 214,172.3025244965736
신성주유소,서울 동대문구 장한로 29 (장안동),172.2366926930916
sk여명주유소,서울 영등포구 국회대로62길 7 (여의도동),172.13502519574283
(주)대신EDI 서원주유소,서울 서초구 반포대로 142 (서초동),171.4255825010715
(주)제이교역(제원주유소),서울특별시 서초구 매헌로 72 (양재동),171.10226127901657
GS칼텍스(주)직영 GS타워S/S,서울 강남구 논현로 516 (역삼동),171.0000944332307
역전주유소,서울 중구 남대문로5가 84-17가,170.75186517169837
SK에너지(주)직영 평택항주유소,경기 평택시 포승읍 포승공단로 240,170.32553824317748
청원제일주유소,서울 마포구 양화로 171 (동교동),169.90035212318045
SK에너지(주) 삼성주유소,경기 평택시 청북면 청원로 158,169.44326891438268
SK네트웍스(주) 서울셀프주유소,서울 관악구 신림로 183 (신림동),168.9011288669651
세화주유소,서울 중구 왕십리로 403,168.5981526991496
화일주유소,서울특별시 영등포구 도림로 415 (문래동2가),168.34499627672295
면목동주유소, ,168.00058299984005
공단주유소,경기도 안산시 단원구 산단로 313 (신길동),167.9765102338642
삼융주유소,서울 은평구 수색로 299 (수색동),167.78229503680532
한전주유소,서울 양천구 중앙로 226 (신정동),167.6585207430866
