구분,고급휘발유,보통휘발유,자동차용경유,실내등유,보일러등유
15년04월5주,1597.46,1430.63,1214.85,701.17,-
15년05월1주,1646.47,1475.06,1249.08,736.15,-
15년05월2주,1650.15,1498.68,1276.02,758.55,-
15년05월3주,1639.57,1508.36,1277.43,762.83,-
15년05월4주,1655.03,1496.10,1258.65,742.43,-
15년06월1주,1652.60,1478.31,1237.53,730.29,-
15년06월2주,1651.08,1515.09,1263.15,736.76,-
15년06월3주,1662.85,1523.57,1260.57,741.00,-
15년06월4주,1660.31,1511.02,1249.05,731.90,-
15년07월1주,1648.34,1475.10,1215.04,705.46,-
15년07월2주,1638.48,1483.64,1222.60,708.84,-
15년07월3주,1612.40,1473.03,1203.29,684.29,-
15년07월4주,1634.23,1476.73,1209.33,695.68,-
15년07월5주,1604.00,1441.91,1166.00,665.13,-
15년08월1주,1604.22,1457.41,1177.18,667.29,-
15년08월2주,1567.57,1439.87,1152.38,640.76,-
15년08월3주,1603.61,1437.68,1154.78,642.62,-
15년08월4주,1539.07,1387.54,1113.77,612.17,-
15년09월1주,1535.05,1378.60,1120.55,607.48,-
15년09월2주,1552.47,1416.10,1171.17,651.55,-
15년09월3주,1559.21,1405.23,1164.58,649.01,-
15년09월4주,1538.78,1395.67,1153.83,642.19,-
15년09월5주,1546.49,1382.59,1142.64,632.74,-
15년10월1주,1564.86,1417.60,1171.39,661.12,-
15년10월2주,1550.02,1397.13,1159.72,649.72,-
15년10월3주,1538.08,1382.34,1145.63,637.09,-
15년10월4주,1499.01,1339.32,1111.52,607.41,-
15년11월1주,1505.52,1358.70,1138.52,626.44,-
15년11월2주,1499.69,1343.75,1136.88,614.69,-
15년11월3주,1467.44,1332.78,1129.54,623.65,-
15년11월4주,1450.88,1312.76,1113.46,609.65,-
15년12월1주,1472.54,1306.67,1106.14,609.33,-
15년12월2주,1454.10,1313.77,1105.35,592.16,-
15년12월3주,1458.59,1304.67,1084.86,575.12,-
15년12월4주,1458.33,1302.08,1053.37,549.08,-
15년12월5주,1420.29,1273.16,1010.93,518.78,-
16년01월1주,1455.86,1308.92,1044.77,536.72,-
16년01월2주,1449.69,1291.74,1000.88,501.86,-
16년01월3주,1413.93,1262.10,964.68,470.12,-
16년01월4주,1393.49,1248.29,943.17,460.55,-
16년02월1주,1409.08,1251.33,977.97,471.86,-
16년02월2주,1398.87,1238.42,975.79,492.31,-
16년02월3주,1360.61,1215.76,980.65,494.73,-
16년02월4주,1398.56,1243.85,1010.04,505.54,-
16년03월1주,1390.65,1225.75,999.30,492.88,-
16년03월2주,1400.06,1268.37,1043.30,549.96,-
